class,age,sex,survived,died
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,yes,No
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
first,adult,male,no,Yes
